,,Evolution,,,Random,,,Greedy,
iteration,best,avg,worst,best,avg,worst,best,avg,worst
1,978.874,1092.72,1608.82,1450.84,2121.37,2733.08,883.221,1019.19,1104.55
2,942.161,1071.32,1600.43,1476.95,2121.05,2704.72,883.221,1019.19,1104.55
3,831.34,965.352,1491.32,1397.56,2121.18,2711.32,883.221,1019.19,1104.55
4,865.963,984.542,1486.06,1378.36,2121.1,2696.49,883.221,1019.19,1104.55
5,839.025,974.106,1404.14,1492.82,2121.39,2670.29,883.221,1019.19,1104.55
6,815.604,968.505,1586.41,1409.54,2121.6,2681,883.221,1019.19,1104.55
7,818.711,956.529,1413.15,1428.8,2121.22,2711.41,883.221,1019.19,1104.55
8,955.304,1076.09,1544.45,1455.39,2121.39,2684.88,883.221,1019.19,1104.55
9,854.172,979.263,1429.43,1458.07,2121.38,2678.99,883.221,1019.19,1104.55
10,890.065,1015.93,1462.96,1420.41,2121.32,2761.75,883.221,1019.19,1104.55
,,,,,,,,,
?REDNIA,879.1219,1008.4357,1502.717,1436.874,2121.3,2703.393,883.221,1019.19,1104.55
